id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
34941394,Cozy room great located!!!,122294606,Perla,Arganzuela,Palos de Moguer,40,-3,35,1,4,15/09/2019,1.97,1,0,Private room
34942128,Room in Penthouse_MADRID/VALLECAS,263269836,Manon,Puente de Vallecas,Palomeras Sureste,40,-3,145,2,0,01/01/2019,0,1,90,Private room
34942152,APARTAMENTO Wanda Metropolitano,89452589,Fernando,San Blas - Canillejas,Arcos,40,-3,250,3,0,01/01/2019,0,1,177,Entire home/apt
34942825,Bright & spacious apartment in historical Madrid,263297740,Jona,Centro,Palacio,40,-3,2400,2,0,01/01/2019,0,1,90,Entire home/apt
34942943,Maison Josephine - Madrid centro,13993275,Capucine,Centro,Justicia,40,-3,155,2,0,01/01/2019,0,2,362,Entire home/apt
34943527,Rooms to 10 min walking from WANDA metropolitan.,17167260,Juan David,San Blas - Canillejas,Simancas,40,-3,300,1,0,01/01/2019,0,1,89,Private room
34946049,Spacious Private Double Room With a Balcony,263317959,Roman,Tetuán,Berruguete,40,-3,89,1,0,01/01/2019,0,2,0,Private room
34951484,alquilo Piso al lado de wanda par la final,263367653,Oumar,San Blas - Canillejas,Hellín,40,-3,300,1,0,01/01/2019,0,1,89,Private room
34952546,"Plaza Santa Ana, Studio, 4 people",105708985,Rafael,Centro,Cortes,40,-3,60,2,6,04/09/2019,3.21,27,315,Entire home/apt
34952627,"Habitación con Baño Privado (Barajas, AirPort)",263374085,Carmen,Barajas,Casco Histórico de Barajas,40,-3,250,1,0,01/01/2019,0,1,0,Private room
34953518,BBQ Final Champions UEFA,58019211,Germán,Tetuán,Bellas Vistas,40,-3,260,3,0,01/01/2019,0,3,230,Entire home/apt
34953775,"Santa Ana Studio B, 4 people , 45 sq.m",105708985,Rafael,Centro,Cortes,40,-3,55,3,11,28/08/2019,3.27,27,312,Entire home/apt
34953940,"Plaza Santa Ana, Studio, 50 sq.m , 4 people, END",105708985,Rafael,Centro,Cortes,40,-3,60,3,4,26/08/2019,1.9,27,321,Entire home/apt
34954309,Habitación con baño privado,49845995,Esther,Villa de Vallecas,Santa Eugenia,40,-3,300,1,0,01/01/2019,0,1,88,Private room
34954507,Champions League final Cozy Flat!! Good 4 people,29020610,Luigio,Tetuán,Valdeacederas,40,-3,225,2,0,01/01/2019,0,1,90,Entire home/apt
