price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,room_type
90,2,38,0.54,1,153,Entire home/apt
75,2,189,2.45,1,332,Entire home/apt
150,3,74,0.95,3,41,Entire home/apt
148,1,5,0.09,1,365,Private room
33,1,34,0.44,5,39,Private room
95,2,17,0.22,1,272,Entire home/apt
30,3,134,1.72,3,230,Private room
76,4,205,2.66,5,194,Entire home/apt
69,3,4,0.08,1,218,Entire home/apt
50,2,183,2.36,1,228,Entire home/apt
55,1,30,0.39,1,262,Private room
130,3,15,0.25,6,141,Entire home/apt
99,3,12,0.17,6,139,Entire home/apt
230,3,71,0.95,6,139,Entire home/apt
30,3,127,1.65,3,229,Private room
30,2,131,2.02,1,52,Private room
76,2,90,1.17,6,0,Entire home/apt
74,2,101,1.31,6,4,Entire home/apt
75,1,252,3.29,6,48,Entire home/apt
50,5,63,1.1,1,344,Entire home/apt
85,2,286,3.69,5,11,Entire home/apt
25,3,33,0.43,2,261,Private room
45,2,78,1.09,7,270,Private room
58,1,189,2.44,1,62,Entire home/apt
24,5,67,0.87,3,294,Private room
75,365,2,0.03,1,0,Entire home/apt
70,3,209,4.09,3,33,Entire home/apt
35,4,221,2.86,3,13,Entire home/apt
50,6,4,0.05,4,70,Entire home/apt
17,30,16,0.25,2,300,Private room
40,20,171,2.23,1,0,Entire home/apt
85,2,113,1.46,1,344,Entire home/apt
15,150,0,0,2,76,Entire home/apt
26,150,2,0.06,2,149,Entire home/apt
510,2,1,0.27,1,83,Entire home/apt
79,2,169,2.26,2,278,Entire home/apt
85,5,89,1.16,1,148,Entire home/apt
50,3,14,0.2,1,48,Entire home/apt
80,3,14,0.2,2,141,Entire home/apt
118,1,26,0.35,19,320,Entire home/apt
44,7,18,0.23,2,269,Private room
60,3,180,2.43,2,153,Entire home/apt
150,2,6,0.1,24,191,Entire home/apt
62,2,41,0.7,24,131,Entire home/apt
30,28,1,0.43,12,352,Private room
32,1,124,1.62,2,299,Private room
53,2,28,0.4,1,173,Entire home/apt
69,3,14,0.22,2,206,Entire home/apt
29,3,4,0.12,1,261,Private room
72,3,94,1.22,3,254,Entire home/apt
22,2,36,0.63,1,75,Private room
57,3,204,2.8,1,78,Entire home/apt
78,1,0,0,1,365,Private room
40,6,6,0.1,1,0,Entire home/apt
45,90,5,0.09,1,116,Entire home/apt
91,4,135,1.77,1,263,Entire home/apt
140,3,77,1.06,6,97,Entire home/apt
80,2,15,0.2,1,3,Entire home/apt
21,2,140,2.15,1,0,Private room
51,1,382,4.99,23,257,Entire home/apt
70,3,95,1.3,4,324,Entire home/apt
94,2,15,0.23,10,335,Entire home/apt
35,2,10,0.26,1,293,Private room
84,3,321,4.37,1,240,Entire home/apt
16,2,50,0.68,1,50,Private room
90,1,62,2.81,1,326,Entire home/apt
75,2,194,2.54,3,311,Entire home/apt
200,2,0,0,1,201,Entire home/apt
77,4,23,0.33,1,102,Entire home/apt
60,1,315,4.14,62,316,Entire home/apt
72,3,62,1.02,1,0,Entire home/apt
150,3,5,0.18,1,351,Entire home/apt
25,1,7,0.58,1,275,Private room
90,5,20,0.27,30,340,Hotel room
1000,2,15,0.22,24,189,Entire home/apt
75,2,194,2.6,3,307,Entire home/apt
32,3,72,1.4,3,0,Private room
80,365,0,0,1,365,Entire home/apt
65,5,46,0.63,1,258,Entire home/apt
75,5,100,1.54,1,229,Entire home/apt
85,15,55,0.72,1,0,Entire home/apt
35,2,19,0.26,2,292,Private room
55,7,6,0.1,1,270,Private room
36,2,302,4.84,3,328,Private room
38,2,305,4,3,53,Private room
79,2,221,2.92,10,317,Entire home/apt
153,1,93,1.23,19,309,Entire home/apt
75,2,176,2.32,3,327,Entire home/apt
75,2,186,2.53,10,324,Entire home/apt
100,17,14,0.19,1,1,Entire home/apt
85,2,29,0.39,2,122,Entire home/apt
80,3,47,0.97,1,344,Entire home/apt
28,3,6,0.08,1,0,Private room
65,6,1,0.06,2,47,Entire home/apt
50,2,106,1.41,7,340,Private room
52,2,123,1.67,1,314,Entire home/apt
48,2,6,0.24,1,0,Entire home/apt
65,2,317,4.18,20,0,Entire home/apt
52,2,399,5.28,1,218,Entire home/apt
72,1,424,5.73,62,300,Entire home/apt
29,1,7,0.1,5,75,Private room
51,5,73,1.27,1,300,Entire home/apt
26,2,81,2.89,1,78,Private room
350,3,1,0.04,1,362,Entire home/apt
30,1,4,0.06,1,322,Private room
65,3,53,4.37,1,155,Entire home/apt
59,1,299,4.21,2,35,Entire home/apt
54,3,16,0.44,1,0,Entire home/apt
45,3,144,2.01,2,39,Entire home/apt
79,2,31,0.46,3,288,Entire home/apt
28,60,31,0.44,2,322,Private room
70,3,274,3.93,1,286,Entire home/apt
75,1,35,0.48,1,148,Entire home/apt
59,4,118,1.58,5,151,Entire home/apt
75,2,14,0.23,1,343,Entire home/apt
35,1,36,0.49,2,67,Private room
